time,open,high,low,close,volume
2018-06-20 04:00:00,1273.75,1276.15,1273.0,1273.75,4535
2018-06-20 08:00:00,1273.75,1274.85,1271.5,1272.35,6863
2018-06-20 12:00:00,1272.3,1275.35,1270.1,1275.05,6810
2018-06-20 16:00:00,1275.1,1276.25,1271.9,1272.6,10496
2018-06-20 20:00:00,1272.65,1273.05,1267.45,1267.45,5159
2018-06-21 00:00:00,1268.1,1269.6,1267.7,1269.4,2098
2018-06-21 04:00:00,1269.4,1269.85,1264.65,1265.45,4922
2018-06-21 08:00:00,1265.45,1265.55,1261.75,1262.7,8495
2018-06-21 12:00:00,1262.7,1266.25,1261.1,1265.75,10235
2018-06-21 16:00:00,1265.75,1268.95,1264.7,1268.7,10228
2018-06-21 20:00:00,1268.65,1269.95,1266.85,1267.15,4404
2018-06-22 00:00:00,1267.05,1268.35,1266.55,1268.35,1911
2018-06-22 04:00:00,1268.3,1269.0,1266.45,1267.2,4046
2018-06-22 08:00:00,1267.25,1270.9,1267.25,1269.7,7880
2018-06-22 12:00:00,1269.7,1270.25,1267.6,1268.4,6074
2018-06-22 16:00:00,1268.45,1270.7,1266.65,1268.45,10037
2018-06-22 20:00:00,1268.45,1270.3,1268.1,1269.2,4299
2018-06-25 00:00:00,1269.4,1272.4,1269.2,1271.65,2850
2018-06-25 04:00:00,1271.55,1271.7,1266.0,1267.05,4508
2018-06-25 08:00:00,1267.05,1272.2,1264.1,1269.65,6745
2018-06-25 12:00:00,1269.7,1270.2,1266.2,1267.35,5649
2018-06-25 16:00:00,1267.3,1268.95,1265.35,1265.8,8886
2018-06-25 20:00:00,1265.8,1267.8,1264.6,1265.25,4898
2018-06-26 00:00:00,1265.9,1266.65,1265.25,1266.45,1984
2018-06-26 04:00:00,1266.45,1267.5,1261.55,1263.45,4046
2018-06-26 08:00:00,1263.45,1264.4,1257.5,1259.0,6739
2018-06-26 12:00:00,1258.95,1259.0,1254.6,1256.45,7295
2018-06-26 16:00:00,1256.3,1262.05,1256.0,1259.65,11513
2018-06-26 20:00:00,1259.65,1260.05,1256.85,1258.4,4573
2018-06-27 00:00:00,1257.7,1259.1,1257.5,1258.8,2015
2018-06-27 04:00:00,1258.8,1259.35,1253.2,1254.85,6658
2018-06-27 08:00:00,1254.85,1259.55,1254.35,1256.05,8397
2018-06-27 12:00:00,1256.1,1259.9,1254.55,1254.85,10804
2018-06-27 16:00:00,1254.85,1256.5,1251.9,1254.3,10778
2018-06-27 20:00:00,1254.25,1255.1,1250.55,1251.75,6616
2018-06-28 00:00:00,1251.9,1253.6,1251.45,1253.35,2573
2018-06-28 04:00:00,1253.35,1253.9,1251.85,1251.9,4074
2018-06-28 08:00:00,1251.9,1253.05,1248.15,1249.6,8342
2018-06-28 12:00:00,1249.6,1254.1,1249.45,1252.6,8361
2018-06-28 16:00:00,1252.6,1252.8,1249.05,1249.9,11788
2018-06-28 20:00:00,1249.9,1250.7,1245.75,1248.1,5694
2018-06-29 00:00:00,1247.9,1249.25,1247.15,1247.95,2326
2018-06-29 04:00:00,1248.0,1251.3,1245.9,1251.05,7897
2018-06-29 08:00:00,1251.05,1252.65,1248.9,1250.65,7311
2018-06-29 12:00:00,1250.65,1252.15,1249.9,1251.75,7044
2018-06-29 16:00:00,1251.7,1255.45,1248.35,1255.2,9561
2018-06-29 20:00:00,1255.15,1255.2,1251.1,1252.7,5219
2018-07-02 00:00:00,1251.3,1254.05,1251.25,1251.3,2921
2018-07-02 04:00:00,1251.3,1252.05,1250.3,1250.65,4157
2018-07-02 08:00:00,1250.65,1250.8,1247.4,1248.55,7865
2018-07-02 12:00:00,1248.5,1250.6,1247.85,1248.5,6948
2018-07-02 16:00:00,1248.5,1249.15,1241.25,1241.7,10084
2018-07-02 20:00:00,1241.7,1242.75,1239.45,1241.4,5407
2018-07-03 00:00:00,1241.5,1242.75,1240.65,1241.7,2026
2018-07-03 04:00:00,1241.75,1241.85,1237.75,1238.4,7177
2018-07-03 08:00:00,1238.35,1245.7,1237.7,1244.6,9526
2018-07-03 12:00:00,1244.6,1250.35,1244.45,1250.1,7661
